name, bar, transaction_id, item, quantity, price
Kami Alred,Please Don't Tell,691792,Heineken Light Lager,4,4.39
Kami Alred,Please Don't Tell,691792,Anchor Steam,1,6.25
Racquel Ridenhour,Rocking Horse Saloon,837071,Busch,5,3.99
Pearl Pellegrini,The Pig and Parrot,223893,Coors Banquet,2,3.99
Pearl Pellegrini,The Pig and Parrot,223893,Pabst Blue Ribbon,2,4.49
Pearl Pellegrini,The Pig and Parrot,223893,Corona Extra,3,3.99
Fred Fast,Clover Club,703385,Sierra Nevada Pale Ale,4,2.49
Fred Fast,Clover Club,703385,Miller Lite,4,2.49
Fred Fast,Clover Club,703385,Redhook Long Hammer IPA,1,3.49
Fred Fast,Clover Club,703385,Carlsberg Export,3,3.99
Isobel Vallee,Pig’s Eye Pub,303037,Pabst Blue Ribbon,1,3.49
Isobel Vallee,Pig’s Eye Pub,303037,90 Minute IPA,5,5.75
Isobel Vallee,Pig’s Eye Pub,303037,Molson Canadian Lager,3,4.49
Isobel Vallee,Pig’s Eye Pub,303037,Amstel Lager,2,5.49
Isobel Vallee,Pig’s Eye Pub,303037,Miller Lite,2,2.99
Isobel Vallee,Pig’s Eye Pub,303037,Onion Rings,5,4.49
Prince Thrailkill,The Shepherd & the Knucklehead,309313,Carlsberg Export,2,3.99
Prince Thrailkill,The Shepherd & the Knucklehead,309313,Anchor Steam,5,4.75
Prince Thrailkill,The Shepherd & the Knucklehead,309313,Lagunitas IPA,4,2.99
Prince Thrailkill,The Shepherd & the Knucklehead,309313,Bud Lite,3,2.49
Prince Thrailkill,The Shepherd & the Knucklehead,309313,Stella Artois,5,2.99
Prince Thrailkill,The Shepherd & the Knucklehead,309313,Yuengling Premium Beer,3,2.99
Lilian Donahue,Dante,463199,Redhook Long Hammer IPA,11,2.49
Lilian Donahue,Dante,463199,Samuel Adams Boston Lager,1,1.49
Lilian Donahue,Dante,463199,Busch,1,2.99
Lilian Donahue,Dante,463199,Coors Banquet,1,1.49
Lilian Donahue,Dante,463199,Corona Light,3,1.49
Lyndon Dickert,The Press,635667,Fat Tire Belgian Style Ale,1,2.99
Lyndon Dickert,The Press,635667,Newcastle Brown Ale,3,3.49
Lyndon Dickert,The Press,635667,Grolsch Premium Lager,2,2.99
Lyndon Dickert,The Press,635667,Miller Lite,5,2.49
Lyndon Dickert,The Press,635667,Labatt Blue,3,2.99
Dwain Imai,Employees Only,106037,Heineken Premium Light Lager,4,2.89
Dwain Imai,Employees Only,106037,Coors Light,4,2.49
Dwain Imai,Employees Only,106037,Carlsberg Export,2,3.99
Dwain Imai,Employees Only,106037,Pilsner Urquell,4,2.99
Thora Mcguffie,McSorley’s Old Ale House,569647,Corona Light,3,3.49
Thora Mcguffie,McSorley’s Old Ale House,569647,Landshark,3,4.99
Thora Mcguffie,McSorley’s Old Ale House,569647,Samuel Adams Octoberfest,4,3.49
Thora Mcguffie,McSorley’s Old Ale House,569647,Coors Light,2,3.49
Angla Stookey,Dante,570461,120 Minute IPA,5,4.49
Angla Stookey,Dante,570461,Bud Lite Platinum,3,1.49
Angla Stookey,Dante,570461,Heineken Premium Light Lager,1,1.89
Angla Stookey,Dante,570461,Redhook Long Hammer IPA,1,2.49
Angla Stookey,Dante,570461,Miller Lite,4,1.49
Ronny Kuether,Blind Tiger Ale House,955675,Guiness Extra Stout,4,3.19
Ronny Kuether,Blind Tiger Ale House,955675,Guiness Draught,5,3.45
Ronny Kuether,Blind Tiger Ale House,955675,George Killian’s Irish Red,2,3.49
Ronny Kuether,Blind Tiger Ale House,955675,Pabst Blue Ribbon,5,3.49
Jacalyn Dicicco,Maison Premiere,236234,Heineken Premium Light Lager,1,2.89
Jacalyn Dicicco,Maison Premiere,236234,Carlsberg Export,5,3.99
Angla Stookey,Dante,680175,Bud Lite Platinum,5,1.49
Angla Stookey,Dante,680175,Stella Artois,4,1.99
Angla Stookey,Dante,680175,Samuel Adams Boston Lager,5,1.49
Angla Stookey,Dante,680175,Samuel Adams Octoberfest,4,1.49
Angla Stookey,Dante,680175,Busch,2,2.99
Angla Stookey,Dante,680175,Anchor Steam,1,3.75
Rupert Hurless,Please Don't Tell,881221,Heineken Light Lager,4,4.39
Elia Huynh,Clover Club,120231,Stella Artois,4,2.99
Elia Huynh,Clover Club,120231,Guiness Extra Stout,1,2.69
Elia Huynh,Clover Club,120231,Amstel Lager,2,4.99
Elia Huynh,Clover Club,120231,Carlsberg Export,1,3.99
Elia Huynh,Clover Club,120231,Keystone Light,1,2.49
Brooke Warner,The NoMad Bar,707647,Lagunitas IPA,2,4.49
Brooke Warner,The NoMad Bar,707647,Fat Tire Belgian Style Ale,1,4.49
Brooke Warner,The NoMad Bar,707647,Lagunitas IPA,4,4.49
Brooke Warner,The NoMad Bar,707647,Paulaner,4,4.49
Brooke Warner,The NoMad Bar,707647,Italian Salad,1,5.49
Eula Elvira,Finnegan’s Pub,433873,Heineken Light Lager,1,2.89
Eula Elvira,Finnegan’s Pub,433873,Beck’s,1,5.95
Eula Elvira,Finnegan’s Pub,433873,Fat Tire Belgian Style Ale,4,2.99
Eula Elvira,Finnegan’s Pub,433873,Tecate,1,2.49
Eula Elvira,Finnegan’s Pub,433873,Sapporo Premium Lager,4,3.49
Eula Elvira,Finnegan’s Pub,433873,Bud Lite Platinum,2,2.49
Marquetta Hollis,The Aviary NYC,266746,Rolling Rock Extra Pale,1,2.99
Marquetta Hollis,The Aviary NYC,266746,Michelob Light,5,3.49
Marquetta Hollis,The Aviary NYC,266746,Yuengling Traditional Amber Lager,1,2.99
Marquetta Hollis,The Aviary NYC,266746,Foster’s Lager,1,3.99
Sylvie Deines,Northern Soul,255532,90 Minute IPA,6,4.25
Sylvie Deines,Northern Soul,255532,Guiness Extra Stout,4,1.69
Sylvie Deines,Northern Soul,255532,Pilsner Urquell,5,1.99
Sylvie Deines,Northern Soul,255532,Coors Banquet,4,1.49
Sylvie Deines,Northern Soul,255532,Labatt Blue Light,1,1.99
Sylvie Deines,Northern Soul,255532,Hoegaarden Original White Ale,1,2.49
Michale Soileau,The Russian Lady,785803,60 Minute IPA,5,4.99
Michale Soileau,The Russian Lady,785803,Labatt Blue,1,2.99
Michale Soileau,The Russian Lady,785803,Miller High Life,11,2.49
Michale Soileau,The Russian Lady,785803,Shiner Bock,2,3.99
Christal Maria,Dutch Kills,898889,Budweiser,4,2.49
Christal Maria,Dutch Kills,898889,Coors Light,3,1.99
Christal Maria,Dutch Kills,898889,Shock Top Belgian White,5,3.49
Magnolia Bays,Louise & Jerry’s,110730,Amstel Lager,4,4.99
Magnolia Bays,Louise & Jerry’s,110730,Fat Tire Belgian Style Ale,5,2.99
Lilian Donahue,The Aviary NYC,452885,Michelob Light,5,3.49
Lilian Donahue,The Aviary NYC,452885,Corona Extra,5,2.49
Merlene Mattison,Northern Soul,413010,Coors Banquet,1,1.49
Starr Isabelle,Moran’s,212577,Coors Banquet,1,3.99
Starr Isabelle,Moran’s,212577,120 Minute IPA,2,6.99
Anissa Matherly,Blind Tiger Ale House,558744,Budweiser,5,3.49
Anissa Matherly,Blind Tiger Ale House,558744,Anchor Steam,8,5.25
Anissa Matherly,Blind Tiger Ale House,558744,Sierra Nevada Pale Ale,1,2.99
Anissa Matherly,Blind Tiger Ale House,558744,Pabst Blue Ribbon,2,3.49
Somer Dimeo,Employees Only,207244,Natural Light,3,2.49
Somer Dimeo,Employees Only,207244,Heineken Premium Light Lager,5,2.89
Somer Dimeo,Employees Only,207244,Budweiser,3,2.99
Somer Dimeo,Employees Only,207244,Coors Light,5,2.49
Somer Dimeo,Employees Only,207244,Miller Lite,10,2.49
Zac Torgersen,Cork City,784043,Grolsch Premium Lager,4,2.99
Zac Torgersen,Cork City,784043,Newcastle Brown Ale,5,3.49
Zac Torgersen,Cork City,784043,Pabst Blue Ribbon,3,2.99
Aubrey Cada,Vaughan’s Public House,614892,Natural Light,4,2.49
Aubrey Cada,Vaughan’s Public House,614892,Yuengling Traditional Amber Lager,9,2.99
Aubrey Cada,Vaughan’s Public House,614892,Newcastle Brown Ale,1,3.49
Aubrey Cada,Vaughan’s Public House,614892,Labatt Blue Light,4,2.99
Gabriela Mackay,Side Bar,591053,Sierra Nevada Pale Ale,2,2.99
Gabriela Mackay,Side Bar,591053,Corona Light,3,2.99
Gabriela Mackay,Side Bar,591053,Corona Extra,3,2.99
Gabriela Mackay,Side Bar,591053,Busch,5,4.49
Gabriela Mackay,Side Bar,591053,Tsingtao Beer,1,3.49
Arlie Pinion,Black Bear Bar & Grill,834443,Yuengling Premium Beer,4,2.49
Arlie Pinion,Black Bear Bar & Grill,834443,Foster’s Lager,3,3.49
Arlie Pinion,Black Bear Bar & Grill,834443,Newcastle Brown Ale,5,2.99
Phil Mansfield,The Honeywell,214546,Hofbraü Oktoberfestbier,1,3.49
Phil Mansfield,The Honeywell,214546,Anchor Steam,2,4.75
Phil Mansfield,The Honeywell,214546,Michelob Ultra,3,3.49
Phil Mansfield,The Honeywell,214546,Budweiser,2,2.99
Phil Mansfield,The Honeywell,214546,Guiness Extra Stout,4,2.69
Phil Mansfield,The Honeywell,214546,Michelob Original Lager,5,3.49
Phil Mansfield,The Honeywell,214546,Beck’s,2,5.95
Phil Mansfield,The Honeywell,214546,Guiness Draught,5,2.95
Willow Dino,Dear Irving,595031,60 Minute IPA,5,6.49
Willow Dino,Dear Irving,595031,Bud Lite Platinum,5,3.99
Willow Dino,Dear Irving,595031,Hofbraü Oktoberfestbier,1,4.99
Merlene Mattison,Carpe Diem Pub & Restaurant,737833,Negra Modelo,3,1.99
Merlene Mattison,Carpe Diem Pub & Restaurant,737833,Paulaner,5,2.49
Merlene Mattison,Carpe Diem Pub & Restaurant,737833,Guiness Extra Stout,3,2.19
Merlene Mattison,Carpe Diem Pub & Restaurant,737833,Anchor Steam,2,4.25
Merlene Mattison,Carpe Diem Pub & Restaurant,737833,Carlsberg Export,5,3.49
Coy Bjelland,G.Millz Boken Roadhouse,707944,Hoegaarden Original White Ale,1,3.99
Coy Bjelland,G.Millz Boken Roadhouse,707944,Guiness Draught,6,3.45
Coy Bjelland,G.Millz Boken Roadhouse,707944,120 Minute IPA,8,5.99
Coy Bjelland,G.Millz Boken Roadhouse,707944,Michelob Original Lager,1,3.99
Coy Bjelland,G.Millz Boken Roadhouse,707944,Michelob Light,1,3.99
Irish Rameau,L BAR,391412,Heineken Premium Light Lager,4,2.89
Irish Rameau,L BAR,391412,Carlsberg Export,5,3.99
Irish Rameau,L BAR,391412,Iced Tea,4,1.99
Siu Adcox,Dutch Kills,186075,Budweiser,1,2.49
Siu Adcox,Dutch Kills,186075,Rolling Rock Extra Pale,2,2.49
Siu Adcox,Dutch Kills,186075,Amstel Lager,1,4.49
Siu Adcox,Dutch Kills,186075,Hoegaarden Original White Ale,1,2.99
Anglea Jeanpierre,The Press,942232,Newcastle Brown Ale,1,3.49
Anglea Jeanpierre,The Press,942232,Labatt Blue,5,2.99
Anglea Jeanpierre,The Press,942232,Keystone Light,3,2.49
Anglea Jeanpierre,The Press,942232,Fat Tire Belgian Style Ale,2,2.99
Anglea Jeanpierre,The Press,942232,Tecate,3,2.49
Anglea Jeanpierre,The Press,942232,Rolling Rock Extra Pale,1,2.99
Eda Oscar,Ghost Donkey,649438,Guiness Extra Stout,3,2.19
Eda Oscar,Ghost Donkey,649438,Heineken Premium Light Lager,1,2.39
Eda Oscar,Ghost Donkey,649438,Natural Light,1,1.99
Rochel Hollomon,The Honeywell,775900,Coors Light,5,2.49
Rochel Hollomon,The Honeywell,775900,Corona Extra,2,2.49
Rochel Hollomon,The Honeywell,775900,Foster’s Lager,5,3.99
Rochel Hollomon,The Honeywell,775900,Michelob Ultra,1,3.49
Rochel Hollomon,The Honeywell,775900,Anchor Steam,5,4.75
Rochel Hollomon,The Honeywell,775900,Shock Top Belgian White,3,3.99
Rochel Hollomon,The Honeywell,775900,Guiness Draught,1,2.95
Adria Ostroff,Rocking Horse Saloon,284423,Coors Light,5,2.49
Adria Ostroff,Rocking Horse Saloon,284423,Michelob Original Lager,5,3.49
Adria Ostroff,Rocking Horse Saloon,284423,Hoegaarden Original White Ale,2,3.49
Adria Ostroff,Rocking Horse Saloon,284423,Keystone Light,3,2.49
Lissa Wedderburn,Wilton House,615981,Guiness Draught,4,2.95
Lissa Wedderburn,Wilton House,615981,Amstel Lager,5,4.99
Lissa Wedderburn,Wilton House,615981,Molson Canadian Lager,2,3.99
Ariana Olson,Carpe Diem Pub & Restaurant,709878,Stella Artois,5,2.49
Ariana Olson,Carpe Diem Pub & Restaurant,709878,Labatt Blue Light,3,2.49
Ariana Olson,Carpe Diem Pub & Restaurant,709878,Guiness Draught,5,2.45
Ariana Olson,Carpe Diem Pub & Restaurant,709878,Carlsberg Export,1,3.49
Ariana Olson,Carpe Diem Pub & Restaurant,709878,Miller Lite,4,1.99
Ariana Olson,Carpe Diem Pub & Restaurant,709878,French Onion Soup,1,2.49
Marcelle Coen,Tørst,144005,Foster’s Lager,3,3.49
Nolan Okafor,Slowly Shirley,465519,Paulaner,5,4.49
Nolan Okafor,Slowly Shirley,465519,Bud Lite Platinum,5,3.99
Nolan Okafor,Slowly Shirley,465519,Amstel Lager,1,6.49
Nolan Okafor,Slowly Shirley,465519,Molson Canadian Lager,4,5.49
Nolan Okafor,Slowly Shirley,465519,Molson Canadian Lager,3,5.49
Nolan Okafor,Slowly Shirley,465519,90 Minute IPA,3,6.75
Rochel Hollomon,Mayahuel,215775,Coors Banquet,4,2.49
Rochel Hollomon,Mayahuel,215775,120 Minute IPA,1,5.49
Rochel Hollomon,Mayahuel,215775,Pilsner Urquell,1,2.99
Rochel Hollomon,Mayahuel,215775,Rolling Rock Extra Pale,10,2.99
Rochel Hollomon,Mayahuel,215775,George Killian’s Irish Red,1,2.99
Rochel Hollomon,Mayahuel,215775,Michelob Original Lager,5,3.49
Rochel Hollomon,Mayahuel,215775,Labatt Blue Light,2,2.99
Palma Melgoza,Northern Soul,492893,Hoegaarden Original White Ale,3,2.49
Palma Melgoza,Northern Soul,492893,Hofbraü Oktoberfestbier,3,2.49
Palma Melgoza,Northern Soul,492893,90 Minute IPA,5,4.25
Palma Melgoza,Northern Soul,492893,Anchor Steam,5,3.75
Palma Melgoza,Northern Soul,492893,Tecate,5,1.49
Palma Melgoza,Northern Soul,492893,Sapporo Premium Lager,2,2.49
Audrey Piccolo,Broken Shaker,499444,Natural Light,2,1.99
Audrey Piccolo,Broken Shaker,499444,Corona Extra,4,1.99
Audrey Piccolo,Broken Shaker,499444,Shock Top Belgian White,2,3.49
Audrey Piccolo,Broken Shaker,499444,Hoegaarden Original White Ale,2,2.99
Audrey Piccolo,Broken Shaker,499444,Sapporo Premium Lager,1,2.99
Audrey Piccolo,Broken Shaker,499444,Mozzarella Sticks,1,3.49
Ehtel Remy,Primo’s,855134,Coors Banquet,2,2.99
Ehtel Remy,Primo’s,855134,Shiner Bock,4,4.49
Ehtel Remy,Primo’s,855134,Coors Banquet,2,2.99
Shanon Kyle,Finnegan’s Pub,934407,Labatt Blue Light,9,2.99
Shanon Kyle,Finnegan’s Pub,934407,Beck’s,2,5.95
Shanon Kyle,Finnegan’s Pub,934407,Tecate,9,2.49
Shanon Kyle,Finnegan’s Pub,934407,Fat Tire Belgian Style Ale,5,2.99
Shanon Kyle,Finnegan’s Pub,934407,Labatt Blue,2,2.99
Shanon Kyle,Finnegan’s Pub,934407,Michelob Light,5,3.49
Leila Kravitz,Zack’s Oak Bar & Restaurant,364995,Budweiser,4,2.99
Leila Kravitz,Zack’s Oak Bar & Restaurant,364995,Amstel Lager,4,4.99
Steven Defoor,The Pig and Parrot,622253,Negra Modelo,5,3.99
Steven Defoor,The Pig and Parrot,622253,Coors Banquet,2,3.99
Steven Defoor,The Pig and Parrot,622253,Pabst Blue Ribbon,5,4.49
Steven Defoor,The Pig and Parrot,622253,Hofbraü Oktoberfestbier,5,4.99
Steven Defoor,The Pig and Parrot,622253,Pasta,2,12.49
Steven Defoor,The Pig and Parrot,622253,Pinot Noir,2,6.49
Starr Isabelle,Pegu Club,178643,Hofbraü Oktoberfestbier,4,2.49
Starr Isabelle,Pegu Club,178643,Corona Light,5,1.49
Julianne Saeger,Please Don't Tell,133331,Michelob Ultra,5,4.99
Mina Hertz,Mulligan’s,582789,Budweiser,1,3.49
Mina Hertz,Mulligan’s,582789,Labatt Blue,6,3.49
Mina Hertz,Mulligan’s,582789,Hofbraü Original,4,3.99
Mina Hertz,Mulligan’s,582789,Dos Equis Amber Lager,3,3.49
Mina Hertz,Mulligan’s,582789,Keystone Light,5,2.99
Mina Hertz,Mulligan’s,582789,Lagunitas IPA,3,3.49
Mina Hertz,Mulligan’s,582789,Samuel Adams Octoberfest,3,2.99
Shery Tallarico,Pouring Ribbons,664668,Bud Lite Platinum,4,2.49
Shery Tallarico,Pouring Ribbons,664668,Foster’s Lager,4,3.99
Shery Tallarico,Pouring Ribbons,664668,Samuel Adams Octoberfest,2,2.49
Marine Muirhead,The Press,874476,Keystone Light,1,2.49
Marine Muirhead,The Press,874476,Yuengling Traditional Amber Lager,4,2.99
Nga Blea,The Pig and Parrot,176233,Grolsch Premium Lager,3,4.49
Zachery Emmanuel,Northern Soul,180575,Rolling Rock Extra Pale,5,1.99
Zachery Emmanuel,Northern Soul,180575,Sapporo Premium Lager,3,2.49
Zachery Emmanuel,Northern Soul,180575,Yuengling Premium Beer,5,1.99
Zachery Emmanuel,Northern Soul,180575,Guiness Extra Stout,8,1.69
Zachery Emmanuel,Northern Soul,180575,Labatt Blue Light,3,1.99
Zachery Emmanuel,Northern Soul,180575,90 Minute IPA,1,4.25
Anglea Jeanpierre,The Blind Pig Pizza,962221,Yuengling Traditional Amber Lager,2,2.99
Anglea Jeanpierre,The Blind Pig Pizza,962221,Coors Banquet,2,2.49
Anglea Jeanpierre,The Blind Pig Pizza,962221,Michelob Original Lager,5,3.49
Anglea Jeanpierre,The Blind Pig Pizza,962221,Busch,5,3.99
Anglea Jeanpierre,The Blind Pig Pizza,962221,Hofbraü Original,2,3.49
Anglea Jeanpierre,The Blind Pig Pizza,962221,Chicken Fingers,3,4.99
Anglea Jeanpierre,The Blind Pig Pizza,962221,Onion Rings,3,3.99
Lynwood Printz,Phoenix Bar and Grille,245681,Natural Ice,4,2.49
Lynwood Printz,Phoenix Bar and Grille,245681,Foster’s Lager,3,3.99
Lynwood Printz,Phoenix Bar and Grille,245681,Corona Extra,4,2.49
Lynwood Printz,Phoenix Bar and Grille,245681,Redhook Long Hammer IPA,7,3.49
Creola Stgelais,Tørst,869860,Hofbraü Original,4,2.99
Creola Stgelais,Tørst,869860,Beck’s,5,5.45
Creola Stgelais,Tørst,869860,Labatt Blue Light,2,2.49
Creola Stgelais,Tørst,869860,Fat Tire Belgian Style Ale,9,2.49
Raylene Giel,Louise & Jerry’s,302571,Dos Equis Amber Lager,2,2.99
Raylene Giel,Louise & Jerry’s,302571,Coors Light,4,2.49
Raylene Giel,Louise & Jerry’s,302571,Shiner Bock,5,3.99
Raylene Giel,Louise & Jerry’s,302571,Fat Tire Belgian Style Ale,4,2.99
Raylene Giel,Louise & Jerry’s,302571,Paulaner,3,2.99
Raylene Giel,Louise & Jerry’s,302571,Busch,5,3.99
Danyelle Hatchell,Vaughan’s Public House,570831,Anchor Steam,5,4.75
Danyelle Hatchell,Vaughan’s Public House,570831,Natural Light,1,2.49
Danyelle Hatchell,Vaughan’s Public House,570831,Corona Extra,1,2.49
Charlena Pals,Pilsner Haus & Biergarden,894559,Hoegaarden Original White Ale,5,4.99
Charlena Pals,Pilsner Haus & Biergarden,894559,Coors Banquet,1,3.99
Ronald Bodin,Dutch Kills,541258,Amstel Lager,5,4.49
Ronald Bodin,Dutch Kills,541258,Pilsner Urquell,2,2.49
Signe Cutlip,Tørst,211027,Keystone Light,3,1.99
Signe Cutlip,Tørst,211027,Amstel Lager,3,4.49
Signe Cutlip,Tørst,211027,Beck’s,4,5.45
Signe Cutlip,Tørst,211027,Hofbraü Original,4,2.99
Signe Cutlip,Tørst,211027,Labatt Blue Light,5,2.49
Signe Cutlip,Tørst,211027,Yuengling Premium Beer,4,2.49
Anissa Daulton,Vaughan’s Public House,317431,Natural Light,4,2.49
Anissa Daulton,Vaughan’s Public House,317431,Corona Extra,4,2.49
Anissa Daulton,Vaughan’s Public House,317431,Anchor Steam,2,4.75
Sheryl Graydon,Angel’s Share,983581,Budweiser,1,4.49
Sheryl Graydon,Angel’s Share,983581,Tecate,2,3.99
Sheryl Graydon,Angel’s Share,983581,Beck’s,5,7.45
Sheryl Graydon,Angel’s Share,983581,Samuel Adams Boston Lager,5,3.99
Sheryl Graydon,Angel’s Share,983581,Landshark,2,5.49
Wilma Camburn,Zack’s Oak Bar & Restaurant,716194,Sapporo Premium Lager,9,3.49
Wilma Camburn,Zack’s Oak Bar & Restaurant,716194,Coors Light,2,2.49
Wilma Camburn,Zack’s Oak Bar & Restaurant,716194,Budweiser,2,2.99
Wilma Camburn,Zack’s Oak Bar & Restaurant,716194,Amstel Lager,3,4.99
Eliseo Morra,Mace,740575,Busch,1,3.99
Eliseo Morra,Mace,740575,Natural Light,5,2.49
Eliseo Morra,Mace,740575,Samuel Adams Boston Lager,1,2.49
Eliseo Morra,Mace,740575,Amstel Lager,1,4.99
Eliseo Morra,Mace,740575,Pabst Blue Ribbon,1,2.99
Nona Fasano,Slowly Shirley,296315,Yuengling Premium Beer,2,4.49
Nona Fasano,Slowly Shirley,296315,90 Minute IPA,1,6.75
Nona Fasano,Slowly Shirley,296315,Bud Lite Platinum,5,3.99
