transaction_id,drinker_name,bar_name,time,date,subtotal,tip,total
644747,Adrien Ladd,Phoenix Bar and Grille,21:56:39,2018-11-23,104.6,15.81,127.73
885760,Adriene Sigg,Blind Tiger Ale House,18:11:36,2018-11-15,10.47,1.33,12.53
979927,Adriene Sigg,Primo's,20:39:05,2018-11-20,60.83,11.9,76.99
794327,Adriene Sigg,The Blind Pig Pizza,20:39:29,2018-11-17,3.99,0.62,4.89
284310,Agueda Paek,Broken Shaker,18:40:00,2018-11-20,65.96,6.6,77.18
701276,Agueda Paek,Holiday Cocktail Lounge,18:35:47,2018-11-16,24.4,4.55,30.66
108006,Agueda Paek,The NoMad Bar,14:21:18,2018-11-11,54.38,9.02,67.21
227524,Agueda Paek,The NoMad Bar,18:26:57,2018-11-24,53.85,9.55,67.17
619496,Agueda Paek,The NoMad Bar,23:07:59,2018-11-6,4.39,0.85,5.55
871699,Agueda Paek,The NoMad Bar,18:58:23,2018-11-12,104.97,19.4,131.72
541318,Agueda Paek,Tørst,21:43:47,2018-11-27,46.87,5.33,55.48
527972,Agueda Treat,Angel's Share,22:38:43,2018-11-5,36.31,5.33,44.18
562777,Agueda Treat,Angel's Share,03:00:00,2018-11-16,76.48,8.38,90.21
603299,Agueda Treat,Angel's Share,11:17:40,2018-11-22,66.97,13.3,84.96
614313,Agueda Treat,Angel's Share,22:25:40,2018-11-3,66.02,7.01,77.65
802748,Agueda Treat,Angel's Share,18:52:06,2018-11-16,75.84,7.75,88.9
805131,Agueda Treat,Angel's Share,22:54:36,2018-11-26,11.84,1.7,14.37
910370,Agueda Treat,Angel's Share,21:35:49,2018-11-25,51.6,6.47,61.68
965358,Agueda Treat,Angel's Share,23:17:47,2018-11-1,83.8,10.02,99.69
958869,Agueda Treat,Dante,15:33:42,2018-11-13,53.83,9.58,67.18
403302,Agueda Treat,Nitecap,15:23:04,2018-11-17,35.86,6.93,45.3
186536,Agustina Dover,Cork City,20:57:16,2018-11-9,68.8,10.64,84.26
400393,Agustina Dover,Holiday Cocktail Lounge,22:11:40,2018-11-6,49.78,5.34,58.61
236871,Agustina Dover,Mace,21:04:05,2018-11-17,67.77,12.34,84.85
881512,Agustina Dover,Mace,18:25:45,2018-11-27,71.06,8.32,84.35
124081,Ailene Geers,Finnegan's Pub,21:52:17,2018-11-23,32.79,4.32,39.4
262145,Ailene Geers,Slowly Shirley,21:49:46,2018-11-24,94.83,10.56,112.02
120387,Ailene Geers,Zack's Oak Bar & Restaurant,04:13:07,2018-11-13,21.44,2.72,25.66
627920,Alayna Centers,Holiday Cocktail Lounge,17:43:45,2018-11-23,45.68,5.97,54.85
823575,Alayna Centers,Nitecap,17:59:17,2018-11-26,27.45,2.97,32.35
174352,Alayna Goode,Pig's Eye Pub,16:45:33,2018-11-4,61.66,10.21,76.18
376386,Alayna Goode,Pig's Eye Pub,13:40:46,2018-11-1,24.23,4.62,30.55
538879,Alayna Goode,Pig's Eye Pub,14:58:58,2018-11-27,59.89,6.27,70.35
594085,Alayna Goode,Pig's Eye Pub,16:18:03,2018-11-2,97.29,11.83,115.93
603936,Alayna Goode,Pig's Eye Pub,22:47:03,2018-11-12,5.75,0.93,7.08
630894,Alayna Goode,Pig's Eye Pub,22:42:43,2018-11-2,64.35,10,78.86
733595,Alayna Goode,Pig's Eye Pub,18:28:22,2018-11-11,62.83,12.3,79.53
827828,Alayna Goode,Pig's Eye Pub,13:25:55,2018-11-15,55.17,9.27,68.3
845000,Alayna Goode,Pig's Eye Pub,14:55:08,2018-11-8,65.14,12.81,82.51
929170,Alayna Goode,Pig's Eye Pub,22:22:30,2018-11-8,86.84,10.87,103.78
983744,Alayna Goode,Pig's Eye Pub,01:06:00,2018-11-9,33.68,5.09,41.13
281383,Albert Wentworth,Dante,22:08:22,2018-11-24,37.64,6.34,46.62
402054,Albert Wentworth,Nitecap,23:58:31,2018-11-20,44.36,7.21,54.68
568524,Albert Wentworth,The Pig and Parrot,19:42:51,2018-11-25,148.15,21.87,180.39
236633,Albina Lowell,Blind Tiger Ale House,21:56:18,2018-11-20,50.69,5.18,59.42
610240,Albina Lowell,Carpe Diem Pub & Restaurant,22:03:39,2018-11-23,53.75,7.3,64.81
788469,Albina Lowell,Clover Club,17:48:56,2018-11-15,36.67,3.91,43.15
371907,Albina Lowell,Louise & Jerry's,16:11:36,2018-11-23,71.29,8.83,85.11
241653,Albina Lowell,Side Bar,18:42:47,2018-11-24,28.43,3.33,33.75
427874,Albina Lowell,The NoMad Bar,22:59:24,2018-11-8,51.88,6.13,61.64
654571,Albina Lowell,The NoMad Bar,21:59:59,2018-11-5,38.92,7.23,48.88
758600,Aldo Hoffman,Clover Club,12:10:21,2018-11-30,75.83,13.43,94.57
404196,Alease Iriarte,DC's Tavern,23:48:14,2018-11-8,3.99,0.52,4.79
306344,Alease Iriarte,Pilsner Haus & Biergarden,11:44:17,2018-11-5,38.91,7.63,49.27
269220,Alex Hammaker,The Blind Pig Pizza,00:55:52,2018-11-3,22.94,2.67,27.21
381739,Alex Hammaker,The Blind Pig Pizza,20:45:35,2018-11-17,16.95,2.94,21.07
396846,Alex Hammaker,The Blind Pig Pizza,01:06:00,2018-11-30,28.91,4.49,35.42
545639,Alex Hammaker,The Blind Pig Pizza,20:05:22,2018-11-30,20.43,2.51,24.37
807849,Alex Hammaker,The Blind Pig Pizza,23:15:59,2018-11-4,34.4,6.85,43.66
884725,Alex Hammaker,The Blind Pig Pizza,21:44:35,2018-11-9,10.47,1.81,13.02
895326,Alexa Steppe,Ghost Donkey,03:00:00,2018-11-2,14.33,1.78,17.11
337395,Alexander Versace,Dear Irving,14:03:48,2018-11-24,18.96,2.58,22.87
678397,Alexia Spraggs,Clover Club,16:32:40,2018-11-10,54.65,5.95,64.43
146692,Alexia Spraggs,Dante,19:21:07,2018-11-26,32.88,6.43,41.62
227633,Alexia Spraggs,Dante,21:13:17,2018-11-20,36.67,6.29,45.52
344237,Alexia Spraggs,Dante,20:20:16,2018-11-6,26.21,3.86,31.9
359162,Alexia Spraggs,Dante,23:15:48,2018-11-9,32.14,3.45,37.84
637609,Alexia Spraggs,Dante,11:10:12,2018-11-3,9.45,1.54,11.65
726796,Alexia Spraggs,Dante,23:52:52,2018-11-1,18.38,2.41,22.07
845315,Alexia Spraggs,Dante,20:27:03,2018-11-17,5.96,0.98,7.36
982783,Alexia Spraggs,Dante,01:46:18,2018-11-10,14.91,1.51,17.46
368611,Alexia Spraggs,Death & Company,00:46:12,2018-11-1,37.36,5.69,45.66
352896,Alexia Spraggs,Pouring Ribbons,17:36:50,2018-11-1,20.94,2.58,24.98
584344,Alfonzo Wigfall,Maison Premiere,11:15:52,2018-11-30,22.44,3.62,27.63
647634,Alica Arriola,Mayahuel,11:50:38,2018-11-17,12.96,2.37,16.24
918971,Alica Arriola,Mayahuel,18:43:41,2018-11-2,7.98,0.91,9.45
597820,Alica Arriola,Moran's,07:48:32,2018-11-2,15.96,3.01,20.09
721556,Alica Arriola,Nitecap,23:36:00,2018-11-17,40.9,7.36,51.12
210553,Alica Arriola,Please Don't Tell,00:02:34,2018-11-17,138.79,17.14,165.65
931897,Alica Arriola,Wilton House,18:56:06,2018-11-6,41.38,7.92,52.2
977409,Alica Socia,DC's Tavern,22:07:52,2018-11-9,65.35,11.32,81.24
852369,Alica Socia,McSorley's Old Ale House,00:06:19,2018-11-26,58.35,8.87,71.3
728178,Alida Spurgin,Nitecap,21:25:21,2018-11-5,59.34,6.08,69.58
594281,Alissa Bob,Angel's Share,21:29:35,2018-11-26,103.75,16.92,127.93
774460,Alissa Bob,Angel's Share,02:12:37,2018-11-23,37.61,5.49,45.73
575022,Alissa Bob,Pegu Club,16:18:39,2018-11-26,47.28,5.11,55.7
904724,Alissa Bob,Pegu Club,17:27:43,2018-11-2,25.37,2.64,29.79
906928,Alissa Bob,Pegu Club,01:00:00,2018-11-15,45.8,7.24,56.25
994086,Alissa Bob,Pegu Club,13:05:02,2018-11-1,20.91,2.95,25.32
293369,Allan Persing,Black Bear Bar & Grill,23:17:59,2018-11-11,12.45,1.84,15.16
708152,Allan Persing,Federal Cafe,13:27:50,2018-11-17,57.85,7.75,69.65
131333,Allan Persing,Please Don't Tell,00:17:32,2018-11-12,52.57,7.08,63.33
584978,Allan Persing,Please Don't Tell,19:06:33,2018-11-27,78.81,9.35,93.68
846026,Allan Persing,The Pig and Parrot,21:08:46,2018-11-26,181.74,23.23,217.7
283577,Allan Persing,Wilton House,18:10:05,2018-11-16,56.87,10.41,71.26
175288,Alphonse Brochu,Bar5,00:06:00,2018-11-26,88.79,11.49,106.49
208374,Alphonse Brochu,Bar5,17:27:50,2018-11-3,35.41,3.67,41.56
264755,Alphonse Brochu,Bar5,18:23:27,2018-11-13,19.45,2.55,23.37
328085,Alphonse Brochu,Bar5,23:33:46,2018-11-18,55.85,8.23,67.99
359233,Alphonse Brochu,Bar5,18:41:31,2018-11-16,39.39,4.56,46.71
431610,Alphonse Brochu,Bar5,11:59:30,2018-11-17,22.45,4.31,28.33
564502,Alphonse Brochu,Bar5,11:14:58,2018-11-30,31.42,3.56,37.18
607199,Alphonse Brochu,Bar5,22:24:56,2018-11-15,17.96,3.14,22.36
611795,Alphonse Brochu,Bar5,16:39:23,2018-11-9,51.36,8.66,63.61
709958,Alphonse Brochu,Bar5,23:43:02,2018-11-17,55.85,7.63,67.39
710384,Alphonse Brochu,Bar5,14:18:28,2018-11-10,55.36,5.66,64.89
839012,Alphonse Brochu,Bar5,11:44:49,2018-11-17,66.84,10.85,82.37
979612,Alphonse Brochu,Bar5,00:12:00,2018-11-30,63.83,12.65,80.95
103018,Alta Jarnigan,Attaboy,15:07:19,2018-11-2,45.39,8.16,56.72
327937,Alta Jarnigan,Attaboy,00:52:31,2018-11-16,81.76,12.22,99.7
458707,Alta Jarnigan,Attaboy,00:16:42,2018-11-18,71.34,9.47,85.81
464986,Alta Jarnigan,Attaboy,00:06:00,2018-11-16,26.69,4.36,32.92
548786,Alta Jarnigan,Attaboy,19:18:30,2018-11-24,74.05,12.79,92.03
732468,Alta Jarnigan,Attaboy,23:36:00,2018-11-2,71.78,13.62,90.42
735077,Alta Jarnigan,Attaboy,20:13:32,2018-11-6,65.1,11.45,81.1
575579,Alta Jarnigan,Blind Tiger Ale House,00:30:00,2018-11-12,10.47,1.88,13.09
390687,Alton Etheredge,Phoenix Bar and Grille,11:19:19,2018-11-13,40.16,4.46,47.43
249020,Alton Etheredge,Wilton House,16:44:20,2018-11-6,26.84,2.79,31.51
659445,Alysa Laplant,Aldo Sohm Wine Bar,18:03:00,2018-11-3,43.86,6.51,53.44
155423,Alysa Laplant,Bar Goto,15:01:06,2018-11-22,4.97,0.57,5.89
555325,Alysa Laplant,Pegu Club,22:22:10,2018-11-19,86.63,10.22,102.91
353545,Amie Clampitt,Angel's Share,17:04:13,2018-11-5,61.09,9.24,74.61
437601,Amie Clampitt,Angel's Share,17:33:26,2018-11-20,83.1,11.43,100.35
712137,Amie Clampitt,Angel's Share,00:06:36,2018-11-25,64.26,10.83,79.59
918731,Amie Clampitt,Angel's Share,00:49:47,2018-11-9,79.34,14.42,99.31
125059,Amie Clampitt,Broken Shaker,18:19:37,2018-11-10,66.62,8.67,79.95
768985,Amie Clampitt,Dante,15:34:39,2018-11-23,12.95,2.4,16.26
720934,Amie Clampitt,Employees Only,19:54:41,2018-11-16,20.35,3.53,25.31
308251,Amie Clampitt,Maison Premiere,18:49:13,2018-11-24,64.18,10.1,78.78
921167,Amie Clampitt,Maison Premiere,17:13:58,2018-11-12,79.66,9.36,94.59
405332,Amie Clampitt,Primo's,18:41:38,2018-11-22,22.93,2.3,26.84
829268,Amie Clampitt,Primo's,19:25:59,2018-11-29,65.27,10.06,79.9
606718,Amira Badura,Dear Irving,16:42:28,2018-11-8,67.14,13.25,85.09
160498,Amira Badura,Rocking Horse Saloon,16:21:33,2018-11-30,38.9,4.16,45.78
960268,Amira Badura,The NoMad Bar,01:24:30,2018-11-24,66.36,8.26,79.27
599234,Ammie Revels,Federal Cafe,00:18:57,2018-11-17,74.29,10.98,90.47
580380,Anderson Jerkins,Cooper's Union,18:09:32,2018-11-27,22.92,2.57,27.09
540286,Anderson Jerkins,Maison Premiere,20:58:16,2018-11-13,25.31,4.86,31.94
234563,Anderson Jerkins,Mayahuel,16:53:31,2018-11-27,27.91,3.36,33.22
115773,Anderson Jerkins,McSorley's Old Ale House,01:18:46,2018-11-23,6.98,1.37,8.83
970173,Anderson Jerkins,The Shepherd & the Knucklehead,12:59:18,2018-11-16,98.9,10.57,116.39
420085,Anderson Jerkins,Wilton House,22:46:18,2018-11-10,15.96,2.92,20
124824,Andre Sams,Northern Soul,11:25:52,2018-11-9,39.66,5.37,47.8
147581,Andre Sams,Northern Soul,17:53:12,2018-11-23,28.37,3.51,33.86
296676,Andre Sams,Northern Soul,19:44:01,2018-11-12,9.45,1.68,11.79
838748,Andre Sams,Northern Soul,16:33:49,2018-11-3,35.85,4.88,43.24
631291,Andre Sams,The Winston,07:49:11,2018-11-16,68.8,12.56,86.17
121401,Andrea Wilbanks,Attaboy,18:36:26,2018-11-6,86.04,10.89,102.96
222182,Andrea Wilbanks,Pig's Eye Pub,21:27:42,2018-11-13,17.45,3.39,22.06
539075,Andrea Wilbanks,Pig's Eye Pub,17:57:46,2018-11-15,31.91,3.67,37.82
256731,Andrea Wilbanks,Wilton House,21:26:19,2018-11-5,126.65,21.44,156.95
735901,Andreas Benner,Blind Tiger Ale House,19:11:52,2018-11-23,28.91,4.87,35.8
697676,Andreas Benner,Ghost Donkey,19:59:18,2018-11-22,46.32,9.25,58.81
159775,Andreas Benner,Louise & Jerry's,12:31:47,2018-11-27,22.93,2.97,27.51
562972,Andres Kamin,DC's Tavern,00:15:27,2018-11-6,17.45,2.16,20.83
665239,Andres Kamin,Ghost Donkey,21:45:49,2018-11-29,30.37,4.74,37.24
771494,Andria Valadez,Aldo Sohm Wine Bar,00:03:53,2018-11-23,159.24,25.26,195.65
106152,Andria Valadez,Attaboy,12:27:22,2018-11-5,34.68,3.55,40.66
332093,Andria Valadez,Attaboy,02:43:18,2018-11-3,38.2,6.02,46.9
707871,Andria Valadez,Attaboy,19:54:48,2018-11-11,12.45,1.93,15.25
742030,Andria Valadez,Attaboy,17:05:31,2018-11-3,65.07,9.42,79.05
812215,Andria Valadez,Attaboy,23:12:00,2018-11-15,85.55,11.22,102.76
853309,Andria Valadez,Attaboy,10:54:41,2018-11-13,5.25,0.91,6.52
896055,Andria Valadez,Attaboy,17:48:41,2018-11-30,51.84,5.57,61.04
983714,Andria Valadez,Attaboy,13:32:33,2018-11-8,69.32,11.56,85.73
920470,Andria Valadez,Blind Tiger Ale House,16:31:04,2018-11-15,55.14,8.78,67.78
257502,Andria Valadez,Death & Company,18:48:16,2018-11-4,7.47,1.46,9.46
966023,Andria Valadez,Primo's,18:05:14,2018-11-24,37.88,4.21,44.74
252851,Andria Valadez,The Honeywell,20:44:13,2018-11-8,27.78,3.65,33.38
586572,Andria Valadez,The Honeywell,11:47:53,2018-11-8,73.33,14.42,92.88
597563,Andria Valadez,The Honeywell,22:06:47,2018-11-22,38.68,5.65,47.03
612308,Andria Valadez,The Honeywell,23:29:06,2018-11-27,64.63,12.67,81.83
740577,Andria Valadez,The Honeywell,17:28:48,2018-11-13,17.24,2.6,21.05
767581,Andy Leonard,Grand Vin,18:58:17,2018-11-27,47.25,5.43,55.99
220932,Andy Leonard,Pig's Eye Pub,01:40:33,2018-11-16,56.82,10.26,71.06
302916,Andy Leonard,The NoMad Bar,16:34:35,2018-11-20,17.96,3.31,22.52
797929,Andy Leonard,Zack's Oak Bar & Restaurant,22:29:13,2018-11-2,53.34,8.56,65.63
106680,Angele Scheck,Attaboy,01:06:00,2018-11-13,58.93,9.85,72.9
189810,Angele Scheck,Attaboy,18:01:21,2018-11-29,47.42,5.33,56.07
212685,Angele Scheck,Attaboy,00:19:49,2018-11-23,29.66,3.87,35.6
254849,Angele Scheck,Attaboy,17:42:58,2018-11-20,36.86,3.8,43.24
446861,Angele Scheck,Attaboy,14:58:23,2018-11-16,14.94,2.69,18.68
583727,Angele Scheck,Attaboy,22:34:07,2018-11-17,49.84,5.97,59.3
688792,Angele Scheck,Attaboy,11:01:42,2018-11-24,37.63,6.14,46.41
906956,Angele Scheck,Attaboy,23:23:42,2018-11-23,21.92,2.67,26.13
929305,Angele Scheck,Attaboy,02:50:34,2018-11-12,63.61,7.93,75.99
168220,Angeles Vanbeek,Carpe Diem Pub & Restaurant,23:00:55,2018-11-1,83.85,13.63,103.35
441598,Angeles Vanbeek,Mace,01:06:00,2018-11-27,24.95,3.22,29.91
419142,Angelika Servais,Carpe Diem Pub & Restaurant,17:38:48,2018-11-15,79.09,15.03,99.66
677045,Angelika Servais,Cooper's Union,00:41:12,2018-11-11,34.89,5.53,42.86
309818,Angelika Servais,Finnegan's Pub,01:04:21,2018-11-8,89.07,17.8,113.1
335347,Angelika Servais,Finnegan's Pub,18:43:28,2018-11-3,41.32,8.22,52.43
362802,Angelika Servais,Finnegan's Pub,23:36:28,2018-11-23,47.61,7.21,58.16
424728,Angelika Servais,Finnegan's Pub,16:08:02,2018-11-6,14.95,2.02,18.02
460132,Angelika Servais,Finnegan's Pub,21:40:19,2018-11-9,45.83,8.7,57.74
595954,Angelika Servais,Finnegan's Pub,11:46:03,2018-11-13,56.16,9.47,69.56
721516,Angelika Servais,Finnegan's Pub,23:05:33,2018-11-24,35.78,6.09,44.37
736447,Angelika Servais,Finnegan's Pub,15:59:51,2018-11-2,44.22,7.1,54.42
775741,Angelika Servais,Finnegan's Pub,20:52:17,2018-11-3,2.99,0.52,3.72
809820,Angelika Servais,Finnegan's Pub,00:02:08,2018-11-11,59.21,9.14,72.5
873700,Angelika Servais,Finnegan's Pub,11:40:40,2018-11-22,65.82,13.15,83.57
923267,Angelika Servais,Finnegan's Pub,02:09:47,2018-11-8,33.32,6.42,42.07
944094,Angelika Servais,Finnegan's Pub,21:52:22,2018-11-9,58.58,7.43,70.12
901982,Angelika Servais,The Shepherd & the Knucklehead,23:24:57,2018-11-18,65.3,6.95,76.82
464699,Angla Stookey,Dante,14:32:30,2018-11-23,35.92,3.66,42.1
467156,Angla Stookey,Dante,22:49:56,2018-11-6,16.44,1.74,19.33
484985,Angla Stookey,Dante,00:22:17,2018-11-16,15.61,2.82,19.53
570461,Angla Stookey,Dante,22:17:15,2018-11-20,37.26,4.85,44.72
573053,Angla Stookey,Dante,21:58:26,2018-11-18,44.79,7,54.93
605532,Angla Stookey,Dante,17:40:03,2018-11-22,8.94,1.71,11.28
680175,Angla Stookey,Dante,22:47:42,2018-11-2,38.55,4.3,45.54
780787,Angla Stookey,Dante,11:17:18,2018-11-26,27.77,4.23,33.94
818830,Angla Stookey,Dante,20:54:26,2018-11-25,28.35,3.56,33.89
366304,Angla Stookey,Death & Company,19:26:13,2018-11-18,11.46,1.64,13.9
845003,Angla Stookey,Please Don't Tell,17:43:30,2018-11-24,61.18,10.62,76.08
603643,Angla Stookey,Pouring Ribbons,11:22:20,2018-11-23,3.99,0.4,4.67
945250,Angla Stookey,Pouring Ribbons,19:46:32,2018-11-23,32.38,4.05,38.7
329478,Anglea Jeanpierre,Bar5,17:24:09,2018-11-20,41.89,6.68,51.5
358219,Anglea Jeanpierre,Bar5,16:13:22,2018-11-5,44.38,5.41,52.9
426899,Anglea Jeanpierre,Bar5,21:12:41,2018-11-11,64.81,12.6,81.95
470222,Anglea Jeanpierre,Bar5,11:22:49,2018-11-29,35.41,4.92,42.81
600354,Anglea Jeanpierre,Bar5,00:42:00,2018-11-18,18.94,3.08,23.35
624121,Anglea Jeanpierre,Bar5,23:51:34,2018-11-5,70.81,13.14,88.91
820881,Anglea Jeanpierre,Bar5,20:14:00,2018-11-3,30.91,6,39.07
962221,Anglea Jeanpierre,The Blind Pig Pizza,19:14:25,2018-11-9,82.28,9.49,97.53
942232,Anglea Jeanpierre,The Press,22:02:08,2018-11-2,42.35,6.62,51.94
386214,Anissa Daulton,Primo's,03:21:21,2018-11-12,12.46,1.97,15.3
336569,Anissa Daulton,The Shepherd & the Knucklehead,16:16:03,2018-11-18,29.41,4.87,36.33
317431,Anissa Daulton,Vaughan's Public House,16:25:31,2018-11-11,29.42,3.3,34.78
464134,Anissa Matherly,Blind Tiger Ale House,18:49:04,2018-11-27,75.09,7.73,88.07
558744,Anissa Matherly,Blind Tiger Ale House,10:23:06,2018-11-3,69.42,9.21,83.49
589912,Anissa Matherly,Blind Tiger Ale House,17:30:37,2018-11-29,55.84,6.72,66.47
876561,Anissa Matherly,Blind Tiger Ale House,17:04:04,2018-11-16,13.96,1.7,16.64
909852,Anissa Matherly,Dante,00:55:28,2018-11-20,15,2.77,18.82
873233,Annalee Keeth,Clover Club,20:26:56,2018-11-1,47.37,5.95,56.64
648313,Annalee Keeth,Maison Premiere,17:23:51,2018-11-23,66.82,6.8,78.3
796758,Annalee Keeth,The Press,11:49:57,2018-11-12,59.28,6.07,69.5
910523,Anton Kallenbach,Carpe Diem Pub & Restaurant,14:53:44,2018-11-17,70.78,12.02,87.76
138600,Antonina Frye,Dante,14:00:42,2018-11-22,39.66,5.71,48.15
124044,Antwan Poulson,Pig's Eye Pub,00:30:00,2018-11-23,109.18,20.9,137.73
163835,Antwan Poulson,Pig's Eye Pub,21:35:07,2018-11-6,88.79,14.49,109.5
338850,Antwan Poulson,Pig's Eye Pub,16:48:50,2018-11-5,99.05,19.27,125.26
831892,Antwan Poulson,Pig's Eye Pub,22:42:00,2018-11-29,50.36,5.92,59.81
270847,Antwan Poulson,Side Bar,21:42:18,2018-11-23,38.87,6.04,47.63
134064,Antwan Poulson,The Blind Pig Pizza,11:12:56,2018-11-22,40.34,7.99,51.15
676487,Antwan Poulson,The Press,01:00:00,2018-11-3,13.95,1.65,16.58
151083,Antwan Poulson,Vaughan's Public House,23:16:49,2018-11-16,64.85,10.04,79.43
358802,Antwan Poulson,Vaughan's Public House,21:05:25,2018-11-11,75.99,11.43,92.74
637476,Antwan Poulson,Vaughan's Public House,14:03:24,2018-11-22,32.38,6.11,40.75
952956,Antwan Poulson,Vaughan's Public House,08:52:15,2018-11-23,26.82,5.11,33.81
106586,Araceli Schear,Bar5,17:02:43,2018-11-5,40.41,7.06,50.3
318187,Araceli Schear,Black Bear Bar & Grill,21:42:35,2018-11-18,18.41,2.15,21.85
927618,Aracely Legrand,Finnegan's Pub,18:37:56,2018-11-24,56.8,9.23,70.01
633696,Aracely Legrand,G.Millz Boken Roadhouse,15:42:01,2018-11-10,19.94,2.47,23.8
162234,Aracely Legrand,Grand Vin,00:41:52,2018-11-1,83.83,14.72,104.42
260389,Aracely Legrand,Grand Vin,22:49:18,2018-11-17,79.34,12.85,97.74
261175,Aracely Legrand,Grand Vin,23:49:33,2018-11-2,57.15,7.11,68.26
399468,Aracely Legrand,Grand Vin,16:33:46,2018-11-24,43.69,6.32,53.07
478727,Aracely Legrand,Grand Vin,23:01:11,2018-11-30,52.42,8.76,64.85
485861,Aracely Legrand,Grand Vin,16:08:09,2018-11-12,37.2,6.01,45.81
552781,Aracely Legrand,Grand Vin,16:17:49,2018-11-17,54.7,6.88,65.41
555911,Aracely Legrand,Grand Vin,21:08:04,2018-11-17,41.2,4.74,48.82
598137,Aracely Legrand,Grand Vin,19:51:07,2018-11-24,78.79,10.45,94.75
608220,Aracely Legrand,Grand Vin,23:57:47,2018-11-20,53.62,6.88,64.25
703881,Aracely Legrand,Grand Vin,22:49:16,2018-11-1,60.17,9.21,73.59
705342,Aracely Legrand,Grand Vin,13:05:54,2018-11-23,34.43,5.24,42.08
837767,Aracely Legrand,Louise & Jerry's,23:34:14,2018-11-20,13.45,1.72,16.11
114669,Aracely Legrand,The Ale House,23:57:11,2018-11-10,69.24,10.45,84.53
519982,Aracely Legrand,The Ale House,20:21:09,2018-11-30,62.28,7.21,73.85
742866,Aracely Legrand,Wilton House,17:55:00,2018-11-24,60.32,11.77,76.31
726857,Ardelia Marzano,Mulligan's,19:39:46,2018-11-3,19.94,3.45,24.79
471348,Ardelia Marzano,The Ale House,21:21:30,2018-11-29,25.92,3.52,31.26
158619,Ardelia Marzano,The Blind Pig Pizza,16:49:39,2018-11-22,51.43,9,64.03
255143,Ariana Olson,Carpe Diem Pub & Restaurant,23:17:00,2018-11-8,43.32,7.06,53.42
424300,Ariana Olson,Carpe Diem Pub & Restaurant,02:49:52,2018-11-9,42.32,7.74,53.02
