name,bar,transaction_id,subtotal,tip,total
Agueda Treat,Angel’s Share,802748,75.84,0.16,94.28
Agueda Treat,Angel’s Share,805131,11.84,0.14,14.41
Agueda Treat,Angel’s Share,910370,51.6,0.17,64.79
Agueda Treat,Angel’s Share,965358,83.8,0.11,99.95
Agueda Treat,Dante,958869,53.83,0.15,66.19
Agueda Treat,Nitecap,403302,35.86,0.19,45.56
Agustina Dover,Cork City,186536,68.8,0.17,85.88
Agustina Dover,Holiday Cocktail Lounge,400393,49.78,0.11,59.36
Agustina Dover,Mace,236871,67.77,0.13,82.21
Agustina Dover,Mace,881512,71.06,0.18,89.44
Ailene Geers,Finnegan’s Pub,124081,32.79,0.15,40.5
Ailene Geers,Slowly Shirley,262145,94.83,0.1,112.04
Ailene Geers,Zack’s Oak Bar & Restaurant,120387,21.44,0.2,27.44
Alayna Centers,Holiday Cocktail Lounge,627920,45.68,0.11,54.21
Alayna Centers,Nitecap,823575,27.45,0.12,32.87
Alayna Goode,Pig’s Eye Pub,174352,61.66,0.19,78.34
Alayna Goode,Pig’s Eye Pub,376386,24.23,0.17,30.38
Alayna Goode,Pig’s Eye Pub,538879,59.89,0.2,76.62
Alayna Goode,Pig’s Eye Pub,594085,97.29,0.13,117.9
Alayna Goode,Pig’s Eye Pub,603936,5.75,0.14,7.02
Alayna Goode,Pig’s Eye Pub,630894,64.35,0.18,81.25
Alayna Goode,Pig’s Eye Pub,733595,62.83,0.11,74.6
Alayna Goode,Pig’s Eye Pub,827828,55.17,0.17,69.1
Alayna Goode,Pig’s Eye Pub,845000,65.14,0.16,80.78
Alayna Goode,Pig’s Eye Pub,929170,86.84,0.12,104.28
Alayna Goode,Pig’s Eye Pub,983744,33.68,0.1,39.79
Albert Wentworth,Dante,281383,37.64,0.17,47.13
Albert Wentworth,Nitecap,402054,44.36,0.15,54.79
Albert Wentworth,The Pig and Parrot,568524,148.15,0.17,185.73
Albina Lowell,Blind Tiger Ale House,236633,50.69,0.1,59.86
Albina Lowell,Carpe Diem Pub & Restaurant,610240,53.75,0.14,65.76
Albina Lowell,Clover Club,788469,36.67,0.18,46.49
Albina Lowell,Louise & Jerry’s,371907,71.29,0.14,86.99
Albina Lowell,Side Bar,241653,28.43,0.1,33.54
Albina Lowell,The NoMad Bar,427874,51.88,0.18,65.71
Albina Lowell,The NoMad Bar,654571,38.92,0.11,46.07
Aldo Hoffman,Clover Club,758600,75.83,0.1,89.62
Alease Iriarte,DC’s Tavern,404196,3.99,0.14,4.88
Alease Iriarte,Pilsner Haus & Biergarden,306344,38.91,0.14,47.53
Alex Hammaker,The Blind Pig Pizza,269220,22.94,0.17,28.75
Alex Hammaker,The Blind Pig Pizza,381739,16.95,0.15,20.83
Alex Hammaker,The Blind Pig Pizza,396846,28.91,0.16,35.77
Alex Hammaker,The Blind Pig Pizza,545639,20.43,0.13,24.73
Alex Hammaker,The Blind Pig Pizza,807849,34.4,0.11,40.83
Alex Hammaker,The Blind Pig Pizza,884725,10.47,0.16,12.97
Alexa Steppe,Ghost Donkey,895326,14.33,0.11,17.02
Alexander Versace,Dear Irving,337395,18.96,0.1,22.41
Alexia Spraggs,Clover Club,678397,54.65,0.19,69.41
Alexia Spraggs,Dante,146692,32.88,0.12,39.47
Alexia Spraggs,Dante,227633,36.67,0.19,46.73
Alexia Spraggs,Dante,344237,26.21,0.18,33.21
Alexia Spraggs,Dante,359162,32.14,0.17,40.1
Alexia Spraggs,Dante,637609,9.45,0.2,12.13
Alexia Spraggs,Dante,726796,18.38,0.18,23.17
Alexia Spraggs,Dante,845315,5.96,0.19,7.6
Alexia Spraggs,Dante,982783,14.91,0.18,18.86
Alexia Spraggs,Death & Company,368611,37.36,0.12,44.86
Alexia Spraggs,Pouring Ribbons,352896,20.94,0.13,25.36
Alfonzo Wigfall,Maison Premiere,584344,22.44,0.12,26.93
Alica Arriola,Mayahuel,647634,12.96,0.15,15.97
Alica Arriola,Mayahuel,918971,7.98,0.2,10.24
Alica Arriola,Moran’s,597820,15.96,0.13,19.3
Alica Arriola,Nitecap,721556,40.9,0.19,52.23
Alica Arriola,Please Don't Tell,210553,138.79,0.15,170.97
Alica Arriola,Wilton House,931897,41.38,0.14,50.39
Alica Socia,DC’s Tavern,977409,65.35,0.2,83.71
Alica Socia,McSorley’s Old Ale House,852369,58.35,0.19,74.19
Alida Spurgin,Nitecap,728178,59.34,0.12,71.36
Alissa Bob,Angel’s Share,594281,103.75,0.2,132.86
Alissa Bob,Angel’s Share,774460,37.61,0.16,46.5
Alissa Bob,Pegu Club,575022,47.28,0.12,56.52
Alissa Bob,Pegu Club,904724,25.37,0.17,31.86
Alissa Bob,Pegu Club,906928,45.8,0.11,54.19
Alissa Bob,Pegu Club,994086,20.91,0.19,26.61
Allan Persing,Black Bear Bar & Grill,293369,12.45,0.19,15.81
Allan Persing,Federal Cafe,708152,57.85,0.15,71.04
Allan Persing,Please Don't Tell,131333,52.57,0.18,66.61
Allan Persing,Please Don't Tell,584978,78.81,0.13,94.89
Allan Persing,The Pig and Parrot,846026,181.74,0.16,226.45
Allan Persing,Wilton House,283577,56.87,0.11,67.74
Alphonse Brochu,Bar5,175288,88.79,0.18,112.25
Alphonse Brochu,Bar5,208374,35.41,0.2,45.38
Alphonse Brochu,Bar5,264755,19.45,0.1,22.99
Alphonse Brochu,Bar5,328085,55.85,0.11,66.23
Alphonse Brochu,Bar5,359233,39.39,0.15,48.45
Alphonse Brochu,Bar5,431610,22.45,0.12,26.93
Alphonse Brochu,Bar5,564502,31.42,0.15,38.62
Alphonse Brochu,Bar5,607199,17.96,0.18,22.7
Alphonse Brochu,Bar5,611795,51.36,0.1,60.69
Alphonse Brochu,Bar5,709958,55.85,0.13,67.48
Alphonse Brochu,Bar5,710384,55.36,0.15,68.24
Alphonse Brochu,Bar5,839012,66.84,0.17,83.59
Alphonse Brochu,Bar5,979612,63.83,0.14,77.74
Alta Jarnigan,Attaboy,103018,45.39,0.15,55.78
Alta Jarnigan,Attaboy,327937,81.76,0.13,98.88
Alta Jarnigan,Attaboy,458707,71.34,0.11,84.76
Alta Jarnigan,Attaboy,464986,26.69,0.1,31.54
Alta Jarnigan,Attaboy,548786,74.05,0.17,92.5
Alta Jarnigan,Attaboy,732468,71.78,0.1,84.81
Alta Jarnigan,Attaboy,735077,65.1,0.13,78.69
Alta Jarnigan,Blind Tiger Ale House,575579,10.47,0.14,12.76
Alton Etheredge,Phoenix Bar and Grille,390687,40.16,0.11,47.56
Alton Etheredge,Wilton House,249020,26.84,0.16,33.28
Alysa Laplant,Aldo Sohm Wine Bar,659445,43.86,0.1,51.77
Alysa Laplant,Bar Goto,155423,4.97,0.13,6.02
Alysa Laplant,Pegu Club,555325,86.63,0.12,103.46
Amie Clampitt,Angel’s Share,353545,61.09,0.17,76.36
Amie Clampitt,Angel’s Share,437601,83.1,0.15,102.66
Amie Clampitt,Angel’s Share,712137,64.26,0.18,81.31
Amie Clampitt,Angel’s Share,918731,79.34,0.16,98.39
Amie Clampitt,Broken Shaker,125059,66.62,0.12,79.82
Amie Clampitt,Dante,768985,12.95,0.17,16.21
Amie Clampitt,Employees Only,720934,20.35,0.11,24.13
Amie Clampitt,Maison Premiere,308251,64.18,0.13,77.69
Amie Clampitt,Maison Premiere,921167,79.66,0.19,101.35
Amie Clampitt,Primo’s,405332,22.93,0.16,28.37
Amie Clampitt,Primo’s,829268,65.27,0.13,79.1
Amira Badura,Dear Irving,606718,67.14,0.16,83.01
Amira Badura,Rocking Horse Saloon,160498,38.9,0.16,48.15
Amira Badura,The NoMad Bar,960268,66.36,0.11,78.92
Ammie Revels,Federal Cafe,599234,74.29,0.15,91.6
Anderson Jerkins,Cooper’s Union,580380,22.92,0.12,27.35
Anderson Jerkins,Maison Premiere,540286,25.31,0.18,32.05
Anderson Jerkins,Mayahuel,234563,27.91,0.2,35.73
Anderson Jerkins,McSorley’s Old Ale House,115773,6.98,0.18,8.78
Anderson Jerkins,The Shepherd & the Knucklehead,970173,98.9,0.11,117.8
Anderson Jerkins,Wilton House,420085,15.96,0.14,19.44
Andre Sams,Northern Soul,124824,39.66,0.16,49.15
Andre Sams,Northern Soul,147581,28.37,0.18,35.81
Andre Sams,Northern Soul,296676,9.45,0.15,11.59
Andre Sams,Northern Soul,838748,35.85,0.17,44.96
Andre Sams,The Winston,631291,68.8,0.11,81.93
Andrea Wilbanks,Attaboy,121401,86.04,0.16,106.5
Andrea Wilbanks,Pig’s Eye Pub,222182,17.45,0.11,20.81
Andrea Wilbanks,Pig’s Eye Pub,539075,31.91,0.19,40.72
Andrea Wilbanks,Wilton House,256731,126.65,0.12,152.03
Andreas Benner,Blind Tiger Ale House,735901,28.91,0.17,36.16
Andreas Benner,Ghost Donkey,697676,46.32,0.12,55.71
Andreas Benner,Louise & Jerry’s,159775,22.93,0.18,28.85
Andres Kamin,DC’s Tavern,562972,17.45,0.19,22.31
Andres Kamin,Ghost Donkey,665239,30.37,0.16,37.63
Andria Valadez,Aldo Sohm Wine Bar,771494,159.24,0.1,187.95
Andria Valadez,Attaboy,106152,34.68,0.11,41.02
Andria Valadez,Attaboy,332093,38.2,0.19,48.72
Andria Valadez,Attaboy,707871,12.45,0.12,14.9
Andria Valadez,Attaboy,742030,65.07,0.15,80.41
Andria Valadez,Attaboy,812215,85.55,0.15,104.82
Andria Valadez,Attaboy,853309,5.25,0.11,6.21
Andria Valadez,Attaboy,896055,51.84,0.14,63.01
Andria Valadez,Attaboy,983714,69.32,0.18,87.56
Andria Valadez,Blind Tiger Ale House,920470,55.14,0.12,66.29
Andria Valadez,Death & Company,257502,7.47,0.2,9.58
Andria Valadez,Primo’s,966023,37.88,0.11,45.08
Andria Valadez,The Honeywell,252851,27.78,0.11,32.86
Andria Valadez,The Honeywell,586572,73.33,0.2,94.01
Andria Valadez,The Honeywell,597563,38.68,0.19,49.2
Andria Valadez,The Honeywell,612308,64.63,0.14,78.89
Andria Valadez,The Honeywell,740577,17.24,0.2,22.09
Andy Leonard,Grand Vin,767581,47.25,0.19,59.97
Andy Leonard,Pig’s Eye Pub,220932,56.82,0.19,72.29
Andy Leonard,The NoMad Bar,302916,17.96,0.18,22.72
Andy Leonard,Zack’s Oak Bar & Restaurant,797929,53.34,0.18,67.14
Angele Scheck,Attaboy,106680,58.93,0.13,70.98
Angele Scheck,Attaboy,189810,47.42,0.12,56.98
Angele Scheck,Attaboy,212685,29.66,0.16,36.86
Angele Scheck,Attaboy,254849,36.86,0.12,44.35
Angele Scheck,Attaboy,446861,14.94,0.16,18.59
Angele Scheck,Attaboy,583727,49.84,0.12,59.81
Angele Scheck,Attaboy,688792,37.63,0.19,47.77
Angele Scheck,Attaboy,906956,21.92,0.12,26.22
Angele Scheck,Attaboy,929305,63.61,0.1,75
Angeles Vanbeek,Carpe Diem Pub & Restaurant,168220,83.85,0.18,105.81
Angeles Vanbeek,Mace,441598,24.95,0.12,30
Angelika Servais,Carpe Diem Pub & Restaurant,419142,79.09,0.17,99.25
Angelika Servais,Cooper’s Union,677045,34.89,0.12,41.76
Angelika Servais,Finnegan’s Pub,309818,89.07,0.19,113.11
Angelika Servais,Finnegan’s Pub,335347,41.32,0.14,50.6
Angelika Servais,Finnegan’s Pub,362802,47.61,0.12,57.27
Angelika Servais,Finnegan’s Pub,424728,14.95,0.16,18.52
Angelika Servais,Finnegan’s Pub,460132,45.83,0.19,58.56
Angelika Servais,Finnegan’s Pub,595954,56.16,0.18,70.76
Angelika Servais,Finnegan’s Pub,721516,35.78,0.14,43.78
Angelika Servais,Finnegan’s Pub,736447,44.22,0.13,53.44
Angelika Servais,Finnegan’s Pub,775741,2.99,0.18,3.78
Angelika Servais,Finnegan’s Pub,809820,59.21,0.17,73.94
Angelika Servais,Finnegan’s Pub,873700,65.82,0.11,77.94
Angelika Servais,Finnegan’s Pub,923267,33.32,0.12,39.76
Angelika Servais,Finnegan’s Pub,944094,58.58,0.16,72.6
Angelika Servais,The Shepherd & the Knucklehead,901982,65.3,0.18,82.64
Angla Stookey,Dante,464699,35.92,0.14,43.93
Angla Stookey,Dante,467156,16.44,0.14,20.13
Angla Stookey,Dante,484985,15.61,0.19,19.89
Angla Stookey,Dante,570461,37.26,0.12,44.73
Angla Stookey,Dante,573053,44.79,0.13,53.96
Angla Stookey,Dante,605532,8.94,0.16,11.08
Angla Stookey,Dante,680175,38.55,0.13,46.63
Angla Stookey,Dante,780787,27.77,0.2,35.59
Angla Stookey,Dante,818830,28.35,0.14,34.44
Angla Stookey,Death & Company,366304,11.46,0.18,14.53
Angla Stookey,Please Don't Tell,845003,61.18,0.1,72.19
Angla Stookey,Pouring Ribbons,603643,3.99,0.15,4.91
Angla Stookey,Pouring Ribbons,945250,32.38,0.13,39.13
Anglea Jeanpierre,Bar5,329478,41.89,0.12,50.12
Anglea Jeanpierre,Bar5,358219,44.38,0.2,56.89
Anglea Jeanpierre,Bar5,426899,64.81,0.18,81.82
Anglea Jeanpierre,Bar5,470222,35.41,0.19,45.22
Anglea Jeanpierre,Bar5,600354,18.94,0.19,24.19
Anglea Jeanpierre,Bar5,624121,70.81,0.17,88.64
Anglea Jeanpierre,Bar5,820881,30.91,0.12,37.09
Anglea Jeanpierre,The Blind Pig Pizza,962221,82.28,0.16,102.44
Anglea Jeanpierre,The Press,942232,42.35,0.13,51.17
Anissa Daulton,Primo’s,386214,12.46,0.14,15.21
Anissa Daulton,The Shepherd & the Knucklehead,336569,29.41,0.14,35.97
Anissa Daulton,Vaughan’s Public House,317431,29.42,0.11,34.83
Anissa Matherly,Blind Tiger Ale House,464134,75.09,0.19,95.58
Anissa Matherly,Blind Tiger Ale House,558744,69.42,0.19,88.6
Anissa Matherly,Blind Tiger Ale House,589912,55.84,0.16,69.32
Anissa Matherly,Blind Tiger Ale House,876561,13.96,0.11,16.59
Anissa Matherly,Dante,909852,15,0.12,17.98
Annalee Keeth,Clover Club,873233,47.37,0.17,59.48
Annalee Keeth,Maison Premiere,648313,66.82,0.2,85.76
Annalee Keeth,The Press,796758,59.28,0.19,75.74
Anton Kallenbach,Carpe Diem Pub & Restaurant,910523,70.78,0.16,87.63
Antonina Frye,Dante,138600,39.66,0.15,49.01
Antwan Poulson,Pig’s Eye Pub,124044,109.18,0.16,135.69
Antwan Poulson,Pig’s Eye Pub,163835,88.79,0.18,112.12
Antwan Poulson,Pig’s Eye Pub,338850,99.05,0.14,120.39
Antwan Poulson,Pig’s Eye Pub,831892,50.36,0.18,63.63
Antwan Poulson,Side Bar,270847,38.87,0.2,49.87
Antwan Poulson,The Blind Pig Pizza,134064,40.34,0.17,50.37
Antwan Poulson,The Press,676487,13.95,0.17,17.54
Antwan Poulson,Vaughan’s Public House,151083,64.85,0.13,78.18
Antwan Poulson,Vaughan’s Public House,358802,75.99,0.15,93.57
Antwan Poulson,Vaughan’s Public House,637476,32.38,0.12,38.95
Antwan Poulson,Vaughan’s Public House,952956,26.82,0.14,32.7
Araceli Schear,Bar5,106586,40.41,0.1,47.59
Araceli Schear,Black Bear Bar & Grill,318187,18.41,0.17,23.11
Aracely Legrand,Finnegan’s Pub,927618,56.8,0.13,68.57
Aracely Legrand,G.Millz Boken Roadhouse,633696,19.94,0.1,23.5
Aracely Legrand,Grand Vin,162234,83.83,0.19,106.54
Aracely Legrand,Grand Vin,260389,79.34,0.1,93.47
Aracely Legrand,Grand Vin,261175,57.15,0.15,70.23
Aracely Legrand,Grand Vin,399468,43.69,0.15,53.62
Aracely Legrand,Grand Vin,478727,52.42,0.16,64.94
Aracely Legrand,Grand Vin,485861,37.2,0.12,44.71
Aracely Legrand,Grand Vin,552781,54.7,0.15,67.48
Aracely Legrand,Grand Vin,555911,41.2,0.14,50.11
Aracely Legrand,Grand Vin,598137,78.79,0.18,99.25
Aracely Legrand,Grand Vin,608220,53.62,0.11,63.71
Aracely Legrand,Grand Vin,703881,60.17,0.12,71.93
Aracely Legrand,Grand Vin,705342,34.43,0.15,42.23
Aracely Legrand,Louise & Jerry’s,837767,13.45,0.19,17.14
Aracely Legrand,The Ale House,114669,69.24,0.19,88.03
Aracely Legrand,The Ale House,519982,62.28,0.2,79.82
Aracely Legrand,Wilton House,742866,60.32,0.16,74.85
Ardelia Marzano,Mulligan’s,726857,19.94,0.11,23.66
Ardelia Marzano,The Ale House,471348,25.92,0.19,33.02
Ardelia Marzano,The Blind Pig Pizza,158619,51.43,0.13,62.38
Ariana Olson,Carpe Diem Pub & Restaurant,255143,43.32,0.16,53.99
Ariana Olson,Carpe Diem Pub & Restaurant,424300,42.32,0.16,52.63
Ariana Olson,Carpe Diem Pub & Restaurant,493886,42.36,0.14,51.58
Ariana Olson,Carpe Diem Pub & Restaurant,709878,46.11,0.14,56.25
Ariana Olson,Carpe Diem Pub & Restaurant,822205,32.63,0.11,38.92
Ariana Olson,Carpe Diem Pub & Restaurant,921217,67.31,0.15,82.53
Ariana Olson,Grand Vin,984270,63.03,0.15,77.59
Ariana Olson,Wilton House,818744,5.98,0.13,7.26
Arianne Almeda,Bar5,767741,94.75,0.13,114.37
Arianne Almeda,Black Bear Bar & Grill,277755,12.45,0.18,15.77
Arianne Almeda,Black Bear Bar & Grill,547645,18.42,0.14,22.53
Arianne Almeda,Cork City,638658,79.84,0.14,97.12
Arianne Almeda,DC’s Tavern,817186,74.34,0.13,89.52
Arianne Almeda,McSorley’s Old Ale House,814027,27.43,0.15,33.79
Ariel Lomax,Cooper’s Union,421000,51.33,0.18,64.94
Ariel Lomax,The NoMad Bar,944434,144.25,0.13,174.59
Arielle Gash,Carpe Diem Pub & Restaurant,570239,21.43,0.15,26.46
Arielle Gash,Moran’s,811837,82.82,0.15,102.34
Arielle Gash,Zack’s Oak Bar & Restaurant,918154,62.33,0.2,79.72
Arlie Pinion,Black Bear Bar & Grill,834443,35.38,0.18,44.71
Arlie Pinion,Pilsner Haus & Biergarden,854859,130.23,0.13,156.85
Arlie Pinion,The Shepherd & the Knucklehead,257109,14.45,0.1,17.07
Arlie Pinion,The Shepherd & the Knucklehead,614573,12.96,0.16,16.1
Arlie Pinion,The Shepherd & the Knucklehead,648306,15.74,0.12,18.86
Arlie Pinion,The Shepherd & the Knucklehead,787603,39.62,0.1,46.67
Arlie Pinion,The Shepherd & the Knucklehead,885582,4.98,0.13,6.03
Arlie Pinion,The Shepherd & the Knucklehead,971009,75.04,0.14,91.29
Aron Parchman,Death & Company,756497,41.32,0.19,52.59
Aron Parchman,Finnegan’s Pub,331849,50.46,0.15,61.99
Aron Parchman,Phoenix Bar and Grille,289521,22.27,0.17,27.88
Aron Parchman,Side Bar,862252,63.3,0.15,77.67
Aron Parchman,The Pig and Parrot,487304,94.78,0.16,117.83
Arthur Minks,DC’s Tavern,588118,53.37,0.11,63.41
Arthur Minks,Federal Cafe,665523,36.39,0.1,42.9
Arthur Minks,McSorley’s Old Ale House,759563,83.29,0.15,102.28
Arvilla Netto,Dante,854426,26.07,0.11,30.96
Arvilla Netto,Louise & Jerry’s,754640,67.79,0.13,81.72
Arvilla Netto,Mayahuel,764292,12.96,0.17,16.2
Arvilla Netto,Slowly Shirley,721562,74.15,0.19,94.03
Arvilla Netto,The Press,897603,16.44,0.11,19.52
Ashanti Cambre,Northern Soul,774095,17.96,0.1,21.17
Ashanti Cambre,Phoenix Bar and Grille,876688,34.87,0.12,41.92
Ashanti Cambre,The Ale House,152675,59.09,0.15,72.88
Ashanti Cambre,The Ale House,155304,33.38,0.18,42.19
Ashanti Cambre,The Ale House,206536,31.41,0.14,38.37
Ashanti Cambre,The Ale House,208590,24.42,0.17,30.46
Ashanti Cambre,The Ale House,236192,9.96,0.19,12.7
Ashanti Cambre,The Ale House,275775,43.86,0.1,51.83
Ashanti Cambre,The Ale House,335008,29.39,0.1,34.65
Ashanti Cambre,The Ale House,467361,56.31,0.17,70.38
Ashanti Cambre,The Ale House,532391,38.4,0.12,46.06
Ashanti Cambre,The Ale House,913082,56.81,0.16,70.79
Ashanti Cambre,The Ale House,971494,42.34,0.19,53.86
Ashanti Cambre,The Pig and Parrot,636370,59.85,0.11,71.1
Ashlie Vantassel,The Blind Pig Pizza,880609,48.13,0.17,60.15
Ashlyn Dildy,Holiday Cocktail Lounge,493544,41.86,0.13,50.71
Ashlyn Dildy,Maison Premiere,593447,45.86,0.2,58.72
Asley Molino,Moran’s,139315,30.83,0.16,38.23
Asley Molino,Pouring Ribbons,802719,51.81,0.11,61.49
Asley Molino,Tørst,827078,53.84,0.17,67.25
Athena Charlesworth,Employees Only,215517,41.06,0.19,52.1
Athena Charlesworth,Employees Only,394525,16.44,0.17,20.63
Athena Charlesworth,G.Millz Boken Roadhouse,222201,3.45,0.16,4.29
Aubrey Cada,Federal Cafe,240599,109.2,0.16,135.87
Aubrey Cada,Federal Cafe,714265,37.4,0.13,45.35
Aubrey Cada,Pig’s Eye Pub,443834,87.77,0.1,103.52
Aubrey Cada,Pig’s Eye Pub,557103,33.91,0.16,42.1
Aubrey Cada,Pig’s Eye Pub,559121,14.95,0.13,18.03
Aubrey Cada,Pig’s Eye Pub,689580,44.9,0.15,55.14
Aubrey Cada,Pig’s Eye Pub,864510,59.85,0.18,75.45
Aubrey Cada,Vaughan’s Public House,134976,7.67,0.18,9.67
Aubrey Cada,Vaughan’s Public House,227293,104.23,0.19,132.5
Aubrey Cada,Vaughan’s Public House,236969,41.48,0.19,52.72
Aubrey Cada,Vaughan’s Public House,419242,71.06,0.18,89.92
Aubrey Cada,Vaughan’s Public House,442791,20.52,0.11,24.39
Aubrey Cada,Vaughan’s Public House,536019,5.95,0.13,7.23
Aubrey Cada,Vaughan’s Public House,614892,52.32,0.15,64.21
Aubrey Cada,Vaughan’s Public House,641481,87.82,0.18,111.15
Aubrey Cada,Vaughan’s Public House,648488,14.95,0.14,18.16
Aubrey Cada,Vaughan’s Public House,782880,79.82,0.16,98.7
Aubrey Cada,Vaughan’s Public House,820545,41.9,0.2,53.6
Audrey Piccolo,Broken Shaker,499444,31.38,0.13,37.86
Audrey Piccolo,Side Bar,499813,66.27,0.17,82.94
Audrey Piccolo,The Honeywell,472488,22.44,0.19,28.46
Audrie Westfall,Employees Only,240240,52.11,0.12,62.63
Augustus Hassen,Dante,320002,1.49,0.2,1.91
Augustus Hassen,McSorley’s Old Ale House,328956,56.36,0.14,68.89
Augustus Hassen,The Pig and Parrot,994346,3.99,0.11,4.73
Augustus Hassen,The Press,676016,90.2,0.14,109.59
Augustus Helget,Bar5,556542,22.43,0.15,27.51
Augustus Helget,Cooper’s Union,459346,52.82,0.16,65.58
Augustus Helget,The Shepherd & the Knucklehead,397209,61.61,0.1,72.83
Aurelia Bassett,Black Bear Bar & Grill,645274,31.39,0.1,36.95
Aurelia Bassett,Black Bear Bar & Grill,668681,69.07,0.17,86.78
Aurelia Bassett,Pilsner Haus & Biergarden,216698,90.33,0.19,114.73
Aurelia Bassett,Pilsner Haus & Biergarden,483660,38.43,0.18,48.67
Aurelia Bassett,Pilsner Haus & Biergarden,845614,25.44,0.2,32.65
Aurelia Bassett,Pilsner Haus & Biergarden,917380,51.9,0.19,66.34
Aurelia Bassett,Pilsner Haus & Biergarden,925541,29.93,0.11,35.44
Aurelia Bassett,The Pig and Parrot,827089,17.96,0.14,21.97
Aurelio Melrose,Dante,563151,16.43,0.14,20.08
Aurelio Melrose,Death & Company,116125,61.31,0.19,78.05
Aurelio Melrose,Holiday Cocktail Lounge,360582,11.82,0.14,14.38
Ava Smolka,Blind Tiger Ale House,774056,38.8,0.2,49.62
Ava Smolka,Employees Only,605806,21.68,0.18,27.36
Ava Smolka,Slowly Shirley,364482,115.82,0.15,142.37
Ava Smolka,The Press,316062,41.85,0.14,50.96
Avis Christner,Pegu Club,695101,36.84,0.2,47.14
Avis Christner,The Ale House,290158,22.44,0.19,28.59
Avis Christner,Tørst,240767,31.38,0.14,38.23
Avis Christner,Zack’s Oak Bar & Restaurant,102077,25.93,0.16,32.11
Ayanna Ehrmann,Grand Vin,648001,2.99,0.15,3.67
Ayanna Ehrmann,Moran’s,227658,8.78,0.19,11.2
Ayanna Ehrmann,Nitecap,147319,21.43,0.15,26.35
Ayanna Ehrmann,Nitecap,248365,18.69,0.13,22.54
Azzie Breese,Black Bear Bar & Grill,206383,38.35,0.2,49.1
Azzie Breese,Black Bear Bar & Grill,213658,14.43,0.15,17.83
Azzie Breese,Black Bear Bar & Grill,427762,68.75,0.17,86.06
